id,year,title,event_type,authors
103,1988,An Adaptive Network That Learns Sequences of Transitions,,['C. L. Winter']
1030,1995,Neuron-MOS Temporal Winner Search Hardware for Fully-Parallel Data Processing,,"['Tadashi Shibata', 'Takeo Yamashita', 'Tadahiro Ohmi', 'Tsutomu Nakai', 'Tatsuo Morimoto', 'Ryu Kaihara']"
1031,1995,Dynamics of Attention as Near Saddle-Node Bifurcation Behavior,,"['Kenji Doya', 'Hiroyuki Nakahara']"
1032,1995,VLSI Model of Primate Visual Smooth Pursuit,,"['Paul Mueller', 'Jan Van der Spiegel', 'Ralph Etienne-Cummings']"
1033,1995,Gradient and Hamiltonian Dynamics Applied to Learning in Neural Networks,,"['James W. Howse', 'Chaouki T. Abdallah', 'Gregory L. Heileman']"
1034,1995,Is Learning The n-th Thing Any Easier Than Learning The First?,,['Sebastian Thrun']
1035,1995,A Dynamical Model of Context Dependencies for the Vestibulo-Ocular Reflex,,"['Terrence J. Sejnowski', 'Olivier J. M. D. Coenen']"
1036,1995,Improved Gaussian Mixture Density Estimates Using Bayesian Penalty Terms and Network Averaging,,"['Volker Tresp', 'Dirk Ormoneit']"
1037,1995,Quadratic-Type Lyapunov Functions for Competitive Neural Networks with Different Time-Scales,,['Anke Meyer-B?se']
1038,1995,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions,,"['Benjamin Van Roy', 'John N. Tsitsiklis']"
1039,1995,Context-Dependent Classes in a Hybrid Recurrent Network-HMM Speech Recognition System,,"['Mike Hochberg', 'Anthony J. Robinson', 'Dan J. Kershaw']"
104,1988,Digital Realisation of Self-Organising Maps,,"['Nigel M. Allinson', 'Martin J. Johnson', 'Kevin J. Moon']"
1040,1995,Empirical Entropy Manipulation for Real-World Problems,,"['Terrence J. Sejnowski', 'Paul A. Viola', 'Nicol N. Schraudolph']"
1041,1995,The Geometry of Eye Rotations and Listing's Law,,"['Tamar Flash', 'Amir A. Handzel']"
1042,1995,Reinforcement Learning by Probability Matching,,"['Michael I. Jordan', 'Philip N. Sabes']"
1043,1995,Neural Control for Nonlinear Dynamic Systems,,"['Ssu-Hsin Yu', 'Anuradha M. Annaswamy']"
1044,1995,Learning with ensembles: How overfitting can be useful,,"['Anders Krogh', 'Peter Sollich']"
1045,1995,SEEMORE: A View-Based Approach to 3-D Object Recognition Using Multiple Visual Cues,,['Bartlett W. Mel']
1046,1995,Analog VLSI Processor Implementing the Continuous Wavelet Transform,,"['Gert Cauwenberghs', 'R. Timothy Edwards']"
1047,1995,Selective Attention for Handwritten Digit Recognition,,['Ethem Alpaydin']
1048,1995,Gaussian Processes for Regression,,"['Christopher K. I. Williams', 'Carl Edward Rasmussen']"
1049,1995,Modern Analytic Techniques to Solve the Dynamics of Recurrent Neural Networks,,"['A.C.C. Coolen', 'D. Sherrington', 'S. N. Laughton']"
105,1988,Backpropagation and Its Application to Handwritten Signature Verification,,"['Joseph W. Goodman', 'Timothy S. Wilkinson', 'Dorothy A. Mighell']"
1050,1995,Family Discovery,,['Stephen M. Omohundro']
1051,1995,Neural Networks with Quadratic VC Dimension,,"['Eduardo D. Sontag', 'Pascal Koiran']"
1052,1995,Learning the Structure of Similarity,,['Joshua B. Tenenbaum']
1053,1995,Reorganisation of Somatosensory Cortex after Tactile Training,,"['Rasmus S. Petersen', 'John G. Taylor']"
1054,1995,Implementation Issues in the Fourier Transform Algorithm,,"['Yishay Mansour', 'Sigal Sahar']"
1055,1995,Adaptive Retina with Center-Surround Receptive Field,,"['Shih-Chii Liu', 'Kwabena Boahen']"
1056,1995,Forward-backward retraining of recurrent neural networks,,"['Anthony J. Robinson', 'Andrew W. Senior']"
